Name,Type,Exterior,Rarity,Extra,Average volume sale,Average price (VND),Max price (VND),Days to reach max,Min price (VND),Days to reach min,Price change (%),Time on market (days)
Sticker | kennyS (Gold) | Boston 2018,Sticker,None,Extraordinary,Normal,2.169354839,3385235.635,42544756,1510,629044.125,269,8.62,1582
Souvenir AWP | Safari Mesh (Well-Worn),Rifle,Well-Worn,Industrial Grade,Souvenir,1.204946996,613775.5797,7803620,2261,14.911,517,7.4,3238
Glock-18 | Synth Leaf (Well-Worn),Pistol,Well-Worn,Restricted,Normal,1.940594059,652750.0131,4243951,565,41357.074,0,88.58,1094
★ Karambit | Lore (Minimal Wear),Knife,Minimal Wear,Covert,Normal,1.2996633,21789447.03,45161864,1806,2104388.75,1019,2.55,2326
★ Specialist Gloves | Emerald Web (Minimal Wear),Gloves,Minimal Wear,Extraordinary,Normal,1.130434783,21938172.68,46029248,2192,7007052,453,3.71,2192
Negev | Mjölnir (Well-Worn),Machinegun,Well-Worn,Classified,Normal,2.063063063,7046626.179,43509300,563,597613.812,0,34.23,1082
Souvenir M4A1-S | Knight (Minimal Wear),Rifle,Minimal Wear,Classified,Souvenir,1.375,11540573.55,44631788,2726,4317884,1070,4.18,2913
★ StatTrak™ Huntsman Knife | Autotronic (Factory New),Knife,Factory New,Covert,StatTrak™,1,9275990.267,12267543,161,6967859,115,-0.03,290
★ StatTrak™ Talon Knife | Boreal Forest (Factory New),Knife,Factory New,Covert,StatTrak™,1,13740429.5,14418795,0,13062537,1292,-0.08,1374
Sticker | tabseN (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.67281106,1209372.301,26271558,1904,315584.906,289,51.79,1904
★ Karambit | Boreal Forest (Well-Worn),Knife,Well-Worn,Covert,Normal,2.021393643,3759393.881,19595338,3153,5702.951,324,4.98,3379
Sticker | JW (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.57826087,1740468.009,22315892,1866,282172.094,0,78.09,1866
Sticker | dennis (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.707627119,622396.3248,8028690,1435,138239.266,17,43.43,1865
Sticker | chopper (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.732793522,949448.0018,13409621,1868,95632.977,17,108.46,1933
Sticker | nex (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.504032258,971121.5716,25724522,1887,169352.016,348,53.12,1898
Sticker | karrigan (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.223728814,637708.7072,11705761,1782,130301.727,16,25.95,1883
Sticker | hutji (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.58974359,540176.3699,13757501,1879,90962.25,16,118.37,1879
★ StatTrak™ Skeleton Knife | Fade (Factory New),Knife,Factory New,Covert,StatTrak™,1.027777778,41332435.06,48997768,946,19935794,0,1.18,1098
Sticker | HS (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.516666667,1109963.628,34233460,1906,151766.797,15,111.05,1906
★ StatTrak™ Stiletto Knife | Damascus Steel (Well-Worn),Knife,Well-Worn,Covert,StatTrak™,1.075,3733256.584,5840317.5,78,2072227.625,37,1.27,1300
M4A1-S | Imminent Danger (Factory New),Rifle,Factory New,Covert,Normal,1,44032378,49199356,224,39142200,364,-0.14,364
★ StatTrak™ Karambit | Crimson Web (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1.034782609,18264356.33,44631788,3234,4928654.5,0,8.06,3234
Sticker | markeloff (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.513307985,572938.2834,12058765,1879,117377.281,171,47.3,1907
AWP | Medusa (Battle-Scarred),Rifle,Battle-Scarred,Covert,Normal,1.408970976,15012636.9,48821224,2534,17742.734,721,4.17,2677
★ Moto Gloves | Spearmint (Well-Worn),Gloves,Well-Worn,Extraordinary,Normal,1.145454545,12166266.35,37357056,2111,10124.861,698,4.91,2182
★ Sport Gloves | Vice (Field-Tested),Gloves,Field-Tested,Extraordinary,Normal,1.576709797,31272973.63,47962064,1629,4114059,1556,0.29,1744
AUG | Akihabara Accept (Minimal Wear),Rifle,Minimal Wear,Covert,Normal,1.716402116,9295836.175,48351104,2638,544755.75,555,14.47,2699
★ Driver Gloves | Imperial Plaid (Factory New),Gloves,Factory New,Extraordinary,Normal,1,38383019,47991816,1434,6293330,0,6.09,1539
AK-47 | Hydroponic (Minimal Wear),Rifle,Minimal Wear,Classified,Normal,5.679006332,5728710.578,48890404,2200,520574.094,1810,17.82,2741
★ Skeleton Knife | Fade (Factory New),Knife,Factory New,Covert,Normal,1.3125,41023057.21,49516488,910,4398.212,472,0.71,1106
★ Specialist Gloves | Mogul (Factory New),Gloves,Factory New,Extraordinary,Normal,1,38562630.93,49305480,0,27662286,1643,-0.44,1643
MP9 | Wild Lily (Battle-Scarred),SMG,Battle-Scarred,Classified,Normal,3.143518519,3518853.62,26014630,1091,531537.25,0,47.94,1091
Sticker | oskar (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.393574297,701573.9564,8851971,1883,161444.062,181,13,1883
★ StatTrak™ Bayonet | Damascus Steel (Battle-Scarred),Knife,Battle-Scarred,Covert,StatTrak™,1.089285714,4358896.185,9167027,0,1606662.625,1186,-0.3,2803
Sticker | KRIMZ (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.71314741,532188.6602,9579345,1901,105430.523,216,62.64,1901
AWP | Fade (Minimal Wear),Rifle,Minimal Wear,Covert,Normal,1.276315789,31153806,46526844,8,17835854,662,-0.46,719
★ Karambit | Autotronic (Minimal Wear),Knife,Minimal Wear,Covert,Normal,1.264516129,16832391.71,39336724,2154,4396635,2250,1.88,2334
Sticker | pashaBiceps (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.544169611,2218540.809,27163650,1906,437526.562,0,61.08,1906
AWP | Medusa (Well-Worn),Rifle,Well-Worn,Covert,Normal,1.533834586,16672129.58,58925740,2580,10414.084,1336,4.05,2743
Sticker | tonyblack (Gold) | London 2018,Sticker,None,Extraordinary,Normal,1.628099174,414667.4601,2722016,1487,112059.586,95,13.67,1487
Negev | Mjölnir (Factory New),Machinegun,Factory New,Classified,Normal,3.690104167,16236809.2,48011156,898,1817359.875,1,16.26,1103
Sticker | ropz (Gold) | Boston 2018,Sticker,None,Extraordinary,Normal,2.397111913,823234.4271,26046368,1277,108997.117,55,38.45,1743
★ Butterfly Knife | Gamma Doppler (Factory New),Knife,Factory New,Covert,Normal,1.62248996,42188368.13,49540788,206,26875354,263,-0.14,433
AWP | Desert Hydra (Battle-Scarred),Rifle,Battle-Scarred,Covert,Normal,1.346153846,35475778.88,45316140,48,1546604.625,145,-0.19,432
★ StatTrak™ Butterfly Knife | Blue Steel (Factory New),Knife,Factory New,Covert,StatTrak™,1.058823529,13087812.85,31993362,2543,4704549.5,1386,2.22,2957
Sticker | bodyy (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.137931034,741703.9368,15207008,1870,27405.771,138,56.42,1870
Sticker | GuardiaN (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.649193548,2141461.662,35347136,1446,571670.812,50,30.68,1446
★ Butterfly Knife | Autotronic (Minimal Wear),Knife,Minimal Wear,Covert,Normal,1.181102362,37937996.53,45397472,215,14766179,235,0.18,431
★ StatTrak™ Butterfly Knife | Ultraviolet (Field-Tested),Knife,Field-Tested,Covert,StatTrak™,1.221359223,9027821.343,21540670,2058,3223125,436,2.52,2058
★ Butterfly Knife,Knife,None,Covert,Normal,15.90487637,10798369.01,42077848,2535,743.863,3056,3.6,3071
Negev | Mjölnir (Field-Tested),Machinegun,Field-Tested,Classified,Normal,8.70096463,11866910.96,46631044,573,773955.438,0,48.66,1081
Souvenir AWP | Desert Hydra (Field-Tested),Rifle,Field-Tested,Covert,Souvenir,1.090909091,42018144.98,49566080,166,33505828,364,-0.27,383
★ Moto Gloves | Spearmint (Field-Tested),Gloves,Field-Tested,Extraordinary,Normal,1.714644351,17793173.71,47688320,1479,1239771.875,739,4.15,2182
★ Specialist Gloves | Foundation (Minimal Wear),Gloves,Minimal Wear,Extraordinary,Normal,1.211505922,14568917.44,44149236,1788,2137150.5,1775,1.25,2157
AWP | Desert Hydra (Field-Tested),Rifle,Field-Tested,Covert,Normal,2.280193237,41599197.29,49547980,234,30655832,12,-0.21,432
Sticker | jmqa (Gold) | Boston 2018,Sticker,None,Extraordinary,Normal,1.557971014,384053.9651,2865138.25,965,98303.859,50,8.28,1430
★ M9 Bayonet | Crimson Web (Minimal Wear),Knife,Minimal Wear,Covert,Normal,1.216010165,14183139.78,44179652,2759,594842.562,160,10.98,3367
★ StatTrak™ Bayonet | Slaughter (Field-Tested),Knife,Field-Tested,Covert,StatTrak™,1.126712329,6590376.242,11279197,2834,697247.688,2066,4.79,3384
★ StatTrak™ M9 Bayonet | Crimson Web (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1.017241379,18116281.96,43998760,1286,6318220,411,2.12,2919
★ Karambit | Boreal Forest (Factory New),Knife,Factory New,Covert,Normal,1.025316456,9353919.475,43704936,2359,2231589.5,523,1.46,3047
★ StatTrak™ Butterfly Knife | Slaughter (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1.45259042,11642384.91,38743872,2868,1083450.75,127,2.1,3044
StatTrak™ P90 | Emerald Dragon (Factory New),SMG,Factory New,Classified,StatTrak™,1.119047619,6566626.464,31810862,2797,446317.875,119,4.61,3315
Negev | Mjölnir (Minimal Wear),Machinegun,Minimal Wear,Classified,Normal,5.357388316,12570529.02,46808580,592,1241168.125,0,23.93,1099
★ StatTrak™ Karambit | Lore (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1.062893082,27019386.14,41346116,1998,9429490,0,1.98,2165
Sticker | shroud (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.281818182,3350804.841,39683116,1469,557649.375,0,43,1903
Sticker | King on the Field,Sticker,None,High Grade,Normal,16.91666667,2000072.998,44631864,2787,12134.282,16,1064.01,3121
★ Sport Gloves | Pandora's Box (Battle-Scarred),Gloves,Battle-Scarred,Extraordinary,Normal,1.271144279,15486954.95,41052072,1949,1178279.25,470,3.77,2190
Sticker | device (Gold) | Boston 2018,Sticker,None,Extraordinary,Normal,2.022421525,1445194.412,15562361,1418,238051.906,46,13.85,1609
Sticker | NEO (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.503521127,950157.5258,13233573,1879,126858.625,0,103.32,1879
M4A1-S | Imminent Danger (Minimal Wear),Rifle,Minimal Wear,Covert,Normal,1.152173913,37222600.78,44631984,9,26072906,137,-0.24,405
Sticker | Skadoodle (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.709677419,1313739.671,10269300,1145,443824.062,17,14,1297
Sticker | LoveYY (Gold) | Boston 2018,Sticker,None,Extraordinary,Normal,1.522522523,514372.963,4918536.5,1171,126892.203,47,10.59,1410
★ Butterfly Knife | Tiger Tooth (Factory New),Knife,Factory New,Covert,Normal,3.430548303,18896282.17,41293084,1555,774302,1255,2.75,2084
★ StatTrak™ Butterfly Knife,Knife,None,Covert,StatTrak™,2.260326087,8648049.324,39920656,3043,923835.812,59,2.33,3070
M4A4 | Poseidon (Factory New),Rifle,Factory New,Classified,Normal,4.598759049,9635149.032,47384872,2193,135646.297,941,6.2,2736
Sticker | felps (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.489711934,638662.8889,12349616,1900,84595.656,184,37.13,1900
★ StatTrak™ Bayonet | Autotronic (Factory New),Knife,Factory New,Covert,StatTrak™,1,23202260.09,38519808,1466,9978104,0,0.43,2111
StatTrak™ AK-47 | Fire Serpent (Well-Worn),Rifle,Well-Worn,Covert,StatTrak™,1.110091743,9556178.872,45323748,2777,1650040.25,30,13.03,3244
★ Driver Gloves | Snow Leopard (Minimal Wear),Gloves,Minimal Wear,Extraordinary,Normal,1.238888889,42458037.81,49803328,29,10123687,211,0.05,725
★ StatTrak™ Butterfly Knife | Safari Mesh (Well-Worn),Knife,Well-Worn,Covert,StatTrak™,1.165501166,3890669.691,12935511,2994,31.932,252,2.09,3011
★ Butterfly Knife | Slaughter (Factory New),Knife,Factory New,Covert,Normal,4.578528827,13398399.87,52765852,2960,3753034.5,861,2.91,3063
★ StatTrak™ Stiletto Knife | Night Stripe (Factory New),Knife,Factory New,Covert,StatTrak™,1,6740217,6740217,0,6740217,0,0,0
★ Butterfly Knife | Autotronic (Field-Tested),Knife,Field-Tested,Covert,Normal,1.594059406,30215433.34,39672860,206,2858534.25,83,0.28,434
★ StatTrak™ Bayonet | Lore (Factory New),Knife,Factory New,Covert,StatTrak™,1.020408163,28270256.37,38196684,1214,3673940,1375,2.37,2055
AK-47 | Gold Arabesque (Field-Tested),Rifle,Field-Tested,Covert,Normal,2.595238095,34166243.02,44631880,189,2938662,87,0.11,433
★ StatTrak™ Butterfly Knife | Black Laminate (Field-Tested),Knife,Field-Tested,Covert,StatTrak™,1.054054054,20131740.78,26065708,211,11992561,4,0.42,418
★ StatTrak™ M9 Bayonet | Blue Steel (Factory New),Knife,Factory New,Covert,StatTrak™,1,9820815.727,17053184,3113,5988098.5,2617,0.93,3167
Sticker | waterfaLLZ (Gold) | Boston 2018,Sticker,None,Extraordinary,Normal,1.510791367,306261.4724,3847125.5,1499,81563.227,10,5.73,1648
★ Butterfly Knife | Blue Steel (Factory New),Knife,Factory New,Covert,Normal,1.377311961,7519803.308,46409868,2394,427969.25,692,2.6,3010
Sticker | rain (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.682170543,1171611.078,15766445,1881,222786.078,17,48.13,1881
★ StatTrak™ Butterfly Knife | Ultraviolet (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1.054054054,13800791.24,37294568,2041,5032234,14,3.07,2041
★ Butterfly Knife | Forest DDPAT (Minimal Wear),Knife,Minimal Wear,Covert,Normal,3.523017903,4719994.209,17210266,2948,19281.479,2839,2.34,3060
Five-SeveN | Neon Kimono (Well-Worn),Pistol,Well-Worn,Restricted,Normal,2.127272727,307750.794,13244896,2216,39176.793,456,15.66,2699
Souvenir AWP | Desert Hydra (Battle-Scarred),Rifle,Battle-Scarred,Covert,Souvenir,1.043478261,39085384.26,45733944,5,28027274,308,-0.3,346
Sticker | flusha (Gold) | Boston 2018,Sticker,None,Extraordinary,Normal,1.884920635,730061.5186,6819178,1784,17696.957,745,12.73,1784
★ StatTrak™ Karambit | Autotronic (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1.039215686,19001803.73,35206036,2136,19013.447,507,1.63,2294
★ StatTrak™ Butterfly Knife | Lore (Well-Worn),Knife,Well-Worn,Covert,StatTrak™,1,30105620.8,42015664,321,21692288,2,0.41,397
★ M9 Bayonet | Fade (Factory New),Knife,Factory New,Covert,Normal,5.64119825,11008487.2,40187952,3390,1283163.875,9,22.3,3390
CZ75-Auto | Chalice (Minimal Wear),Pistol,Minimal Wear,Restricted,Normal,3.873372781,662496.9905,6694821.5,2807,77963.023,18,70.35,2903
Souvenir AK-47 | Gold Arabesque (Battle-Scarred),Rifle,Battle-Scarred,Covert,Souvenir,1.052631579,38601863.47,46979668,9,24748822,231,-0.34,327
★ Butterfly Knife | Case Hardened (Factory New),Knife,Factory New,Covert,Normal,1.295252226,8467067.674,44631788,2292,98685.844,1496,1.19,3051
StatTrak™ M4A1-S | Printstream (Factory New),Rifle,Factory New,Covert,StatTrak™,1.443478261,16152688.27,29916082,643,9371684,253,0.51,720
★ Butterfly Knife | Doppler (Factory New),Knife,Factory New,Covert,Normal,2.76415613,21648377.83,46090804,2071,1757488.75,888,3.41,2082
★ Butterfly Knife | Black Laminate (Minimal Wear),Knife,Minimal Wear,Covert,Normal,1.345323741,25693576.4,37849956,226,15800062,1,0.35,413
AWP | Desert Hydra (Well-Worn),Rifle,Well-Worn,Covert,Normal,1.276595745,36911534.51,45503424,80,20736702,110,-0.07,402
★ StatTrak™ Classic Knife | Slaughter (Field-Tested),Knife,Field-Tested,Covert,StatTrak™,1.019607843,8089445.863,17108852,258,4298537,713,-0.1,1101
★ StatTrak™ Karambit | Marble Fade (Factory New),Knife,Factory New,Covert,StatTrak™,1.134215501,21657716.91,44631788,2282,1239771.875,490,3.31,2816
★ StatTrak™ Butterfly Knife | Black Laminate (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1.047619048,25243447.43,40908752,235,15958844,16,0.31,410
★ Karambit | Marble Fade (Factory New),Knife,Factory New,Covert,Normal,2.442109777,17139616.08,43391768,2368,16286.4,20,3.4,2881
★ StatTrak™ M9 Bayonet | Gamma Doppler (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1,17645463.88,41214772,1164,3692542.5,1438,0.64,1963
★ Butterfly Knife | Slaughter (Minimal Wear),Knife,Minimal Wear,Covert,Normal,6.289521723,11749417.94,37954836,2958,3359265.5,866,1.98,3072
MP9 | Wild Lily (Minimal Wear),SMG,Minimal Wear,Classified,Normal,4.676190476,8586722.88,43807092,571,1161124.5,0,19.63,1081
★ StatTrak™ Butterfly Knife | Bright Water (Factory New),Knife,Factory New,Covert,StatTrak™,1.052631579,23976455.89,34711132,380,10190429,262,1.19,380
★ Sport Gloves | Vice (Well-Worn),Gloves,Well-Worn,Extraordinary,Normal,1.10031348,25081495.21,40614432,1211,10662038,189,0.73,1737
ESL One Cologne 2014 Cobblestone Souvenir Package,Container,None,Base Grade,Normal,21.81162325,3843256.482,44631844,2716,38928.836,534,63.02,2989
AK-47 | Gold Arabesque (Battle-Scarred),Rifle,Battle-Scarred,Covert,Normal,1.479338843,24879755.98,41873792,193,16310935,31,0.17,428
★ StatTrak™ Talon Knife | Fade (Factory New),Knife,Factory New,Covert,StatTrak™,1.111607143,26850162.29,48034464,1000,16321206,122,0.76,1531
StatTrak™ AK-47 | Vulcan (Factory New),Rifle,Factory New,Covert,StatTrak™,1.639964789,11016669.83,45802668,2545,35953.383,1800,1.99,3104
★ StatTrak™ Skeleton Knife | Night Stripe (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1.1,11880523.43,17105308,465,5826928,0,0.61,1070
★ Sport Gloves | Omega (Minimal Wear),Gloves,Minimal Wear,Extraordinary,Normal,1.180698152,25078836.59,45749664,1160,4311252,1113,0.87,1743
MP9 | Wild Lily (Field-Tested),SMG,Field-Tested,Classified,Normal,6.972361809,7449822.284,40912224,569,765646.438,0,34.3,1079
★ Karambit | Crimson Web (Minimal Wear),Knife,Minimal Wear,Covert,Normal,1.296375267,12639801.52,34886932,3280,743.863,659,8.92,3369
★ StatTrak™ Butterfly Knife | Blue Steel (Well-Worn),Knife,Well-Worn,Covert,StatTrak™,1.24351585,5834394.929,24748822,2872,49.323,302,0.87,3041
★ Specialist Gloves | Fade (Minimal Wear),Gloves,Minimal Wear,Extraordinary,Normal,1.141280353,32839189.36,48187068,9,5085596.5,1284,0.25,1738
Sticker | steel (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.394160584,681353.0554,13996281,1917,112301.789,17,80.1,1917
★ Moto Gloves | Polygon (Factory New),Gloves,Factory New,Extraordinary,Normal,1,27043617.64,37020828,659,18341698,562,-0.14,1008
★ Karambit | Marble Fade (Minimal Wear),Knife,Minimal Wear,Covert,Normal,1.059322034,15843793.89,43739824,2795,7128739,84,2.35,2876
★ M9 Bayonet | Ultraviolet (Factory New),Knife,Factory New,Covert,Normal,1.052631579,12801818.74,26785024,2667,8646417,535,1.73,2667
★ StatTrak™ Butterfly Knife | Lore (Battle-Scarred),Knife,Battle-Scarred,Covert,StatTrak™,1.15625,23370285.47,33800608,178,14383433,32,-0.02,369
★ StatTrak™ M9 Bayonet | Fade (Factory New),Knife,Factory New,Covert,StatTrak™,1.264108352,11753561.67,36908504,3188,3872799.5,0,7.64,3380
★ Talon Knife | Fade (Factory New),Knife,Factory New,Covert,Normal,1.666988417,23274200.22,40917400,1022,743.863,303,0.78,1575
StatTrak™ AK-47 | Fire Serpent (Battle-Scarred),Rifle,Battle-Scarred,Covert,StatTrak™,1.260245902,8810906.951,41270680,3117,79097.445,869,5.64,3321
★ Driver Gloves | Crimson Weave (Minimal Wear),Gloves,Minimal Wear,Extraordinary,Normal,1.161425577,19172689.38,33954980,1335,2687.279,1437,1.33,2162
★ StatTrak™ Karambit | Autotronic (Well-Worn),Knife,Well-Worn,Covert,StatTrak™,1,11645199.6,20360814,1770,6868584,66,1.1,1939
Sticker | n0thing (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.301369863,1153398.288,18279692,1904,255790.594,16,42.92,1904
Souvenir M4A1-S | Welcome to the Jungle (Field-Tested),Rifle,Field-Tested,Covert,Souvenir,1,37300442.65,45684848,113,12278453,0,1.14,395
★ Specialist Gloves | Marble Fade (Minimal Wear),Gloves,Minimal Wear,Extraordinary,Normal,1.166666667,38653957.27,47884204,35,10269774,654,-0.08,726
★ StatTrak™ Skeleton Knife | Slaughter (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1.071428571,23823965.57,34706300,562,11523184,0,0.86,1089
★ Talon Knife | Blue Steel (Factory New),Knife,Factory New,Covert,Normal,1.054054054,9076896.696,13637700,1077,9932.829,701,0.36,1521
Sticker | Team LDLC.com | Katowice 2014,Sticker,None,High Grade,Normal,5.55642787,2908301.948,45283164,2511,28485.957,5,424.72,3018
StatTrak™ AK-47 | Wasteland Rebel (Factory New),Rifle,Factory New,Covert,StatTrak™,1.084745763,14293604.7,44087008,2327,6271262.5,681,1.96,2850
★ Karambit | Gamma Doppler (Minimal Wear),Knife,Minimal Wear,Covert,Normal,1.061538462,18475618.67,45399952,1733,8400694,803,1.42,2277
★ StatTrak™ M9 Bayonet | Fade (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1.051282051,10712250.63,26234136,2713,5446318,1092,1.65,2713
★ Butterfly Knife | Freehand (Factory New),Knife,Factory New,Covert,Normal,1.315789474,25215261.76,37193208,195,3000248,301,0.17,427
★ Specialist Gloves | Crimson Kimono (Field-Tested),Gloves,Field-Tested,Extraordinary,Normal,1.763565891,18378320.4,44631868,2009,1880734,821,2.82,2187
★ StatTrak™ Karambit | Gamma Doppler (Factory New),Knife,Factory New,Covert,StatTrak™,1.094623656,24299497.41,44631932,1890,354078.844,1560,1.9,2345
★ StatTrak™ Butterfly Knife | Bright Water (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1,22983455.65,39821472,196,15117648,0,0.65,329
Desert Eagle | Hand Cannon (Battle-Scarred),Pistol,Battle-Scarred,Restricted,Normal,3.739852399,791706.3455,7440958,2674,84449.617,19,27.24,3028
★ M9 Bayonet | Autotronic (Well-Worn),Knife,Well-Worn,Covert,Normal,1.084444444,9086012.313,17436240,2176,4709458.5,460,1.04,2267
Sticker | Vox Eminor (Holo) | Katowice 2015,Sticker,None,Remarkable,Normal,13.66906005,4716977.111,46340688,2303,880.076,2033,393.53,2833
★ StatTrak™ Karambit | Autotronic (Field-Tested),Knife,Field-Tested,Covert,StatTrak™,1.109324759,13505088.53,26719812,2288,1942474.625,1112,1.14,2320
★ StatTrak™ Butterfly Knife | Damascus Steel (Factory New),Knife,Factory New,Covert,StatTrak™,1.054347826,14615585.97,29740396,1527,4847508.5,0,4.74,1994
Sticker | NiKo (Gold) | Boston 2018,Sticker,None,Extraordinary,Normal,2.339130435,1916304.98,31111416,1485,416553.688,62,15.19,1485
Souvenir M4A1-S | Nitro (Minimal Wear),Rifle,Minimal Wear,Restricted,Souvenir,1.066666667,4021912.024,10418051,1506,95.432,519,0.48,2745
★ Sport Gloves | Arid (Minimal Wear),Gloves,Minimal Wear,Extraordinary,Normal,1.319371728,11606447.84,30810492,2187,2793786.5,39,1.91,2188
★ StatTrak™ Ursus Knife | Fade (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1,13276455.88,16860734,110,11183201,328,0.11,1295
★ StatTrak™ Karambit | Damascus Steel (Factory New),Knife,Factory New,Covert,StatTrak™,1.093484419,11407620.41,30283412,2759,52560.547,34,3.04,2806
★ StatTrak™ Karambit | Tiger Tooth (Factory New),Knife,Factory New,Covert,StatTrak™,1.220095694,15917218.94,43906272,1950,1487.726,14,1.68,2842
★ Butterfly Knife | Bright Water (Factory New),Knife,Factory New,Covert,Normal,1.324324324,26073083.61,35804860,218,15656129,3,0.28,432
★ StatTrak™ Butterfly Knife | Blue Steel (Battle-Scarred),Knife,Battle-Scarred,Covert,StatTrak™,1.204081633,5809477.432,20456198,2807,539455.75,1063,1.27,3029
★ Karambit | Autotronic (Field-Tested),Knife,Field-Tested,Covert,Normal,1.954084675,12662875.88,28514570,2312,1835924,760,1.35,2355
★ StatTrak™ Butterfly Knife | Freehand (Factory New),Knife,Factory New,Covert,StatTrak™,1,26211318.32,36686336,228,21075378,61,0.2,418
Glock-18 | Fade (Factory New),Pistol,Factory New,Restricted,Normal,9.936834374,10187605.79,46134764,2850,256564.719,11,38.05,3392
★ Skeleton Knife | Crimson Web (Field-Tested),Knife,Field-Tested,Covert,Normal,1.315,30678677.54,46060868,561,6714607,545,0.67,1104
Sticker | Howling Dawn,Sticker,None,None,Normal,17.97392086,4803554.757,46694568,2590,18326.514,8,817.01,3119
★ StatTrak™ Nomad Knife | Fade (Factory New),Knife,Factory New,Covert,StatTrak™,1.161290323,15649189.71,41446568,1093,8911821,737,0.1,1093
Sticker | jdm64 (Gold) | Boston 2018,Sticker,None,Extraordinary,Normal,1.446043165,538699.5485,5336453,1543,147861.344,74,2.13,1784
Sticker | Edward (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.454545455,643317.8756,12139598,1852,118428.289,224,38.01,1882
★ StatTrak™ Butterfly Knife | Rust Coat (Battle-Scarred),Knife,Battle-Scarred,Covert,StatTrak™,1.367463026,8161384.351,21023716,2039,45001.562,113,0.47,2070
★ Bayonet | Lore (Factory New),Knife,Factory New,Covert,Normal,1.138716356,20617008.79,38957556,1801,285147.531,652,1.22,2328
Souvenir M4A1-S | Control Panel (Factory New),Rifle,Factory New,Classified,Souvenir,1,30210560.8,45253656,1147,16512274,1419,-0.07,1515
★ Butterfly Knife | Slaughter (Field-Tested),Knife,Field-Tested,Covert,Normal,2.475345168,9020565.459,34241080,2985,36840.395,1743,2.1,3051
★ StatTrak™ Flip Knife | Autotronic (Factory New),Knife,Factory New,Covert,StatTrak™,1.032258065,8868444.839,11568559,1954,6216276.5,384,0.03,2021
★ Karambit | Case Hardened (Minimal Wear),Knife,Minimal Wear,Covert,Normal,2.728136882,8496340.071,43511864,3318,9951.484,1020,4.49,3377
★ Butterfly Knife | Autotronic (Battle-Scarred),Knife,Battle-Scarred,Covert,Normal,1.275,23164812.69,37966696,408,14212248,0,0.65,430
★ Huntsman Knife | Crimson Web (Factory New),Knife,Factory New,Covert,Normal,1,17586363.97,29754526,2878,8015438,211,1.88,2878
★ StatTrak™ M9 Bayonet | Slaughter (Factory New),Knife,Factory New,Covert,StatTrak™,1.059701493,13189084.65,34234900,2823,2566326.5,72,0.95,3234
★ StatTrak™ Karambit | Slaughter (Minimal Wear),Knife,Minimal Wear,Covert,StatTrak™,1.197392924,11366954.55,36305728,2813,54549.961,1126,1.12,3336
AK-47 | Hydroponic (Field-Tested),Rifle,Field-Tested,Classified,Normal,11.15138408,4071746.645,22554178,2201,687175.625,1124,15.91,2739
Sticker | boltz (Gold) | Krakow 2017,Sticker,None,Extraordinary,Normal,2.528735632,599500.0862,15336474,1916,106933.883,40,26.87,1916
Sticker | shox (Gold) | Boston 2018,Sticker,None,Extraordinary,Normal,2.387596899,714973.4979,6193337.5,1275,243746.781,58,10.7,1661
